epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,463970,0.93074,1.30089,1.15298,0.97694,0.97916,0.99185,0.89713,0.50566,0.59901,0.81381,0.0002476,0.0002476,0.0002476
78,468487,0.9312,1.29259,1.15311,0.97632,0.97834,0.99181,0.89781,0.50444,0.5951,0.8133,0.0002377,0.0002377,0.0002377
79,472951,0.92602,1.27652,1.14958,0.97569,0.97875,0.99183,0.89853,0.50364,0.59243,0.81292,0.0002278,0.0002278,0.0002278
80,477450,0.92337,1.27547,1.14871,0.97564,0.97835,0.99185,0.89875,0.50297,0.59048,0.81258,0.0002179,0.0002179,0.0002179
81,481904,0.91792,1.26499,1.14919,0.97588,0.9783,0.99182,0.89915,0.50225,0.58889,0.81221,0.000208,0.000208,0.000208
82,486359,0.91471,1.26023,1.14457,0.97602,0.97768,0.99182,0.90014,0.50104,0.5864,0.8118,0.0001981,0.0001981,0.0001981
83,490839,0.90469,1.24585,1.13852,0.97711,0.9775,0.99187,0.90098,0.5,0.58425,0.81149,0.0001882,0.0001882,0.0001882
84,495309,0.9054,1.24627,1.13902,0.97734,0.9775,0.99191,0.90156,0.49906,0.58264,0.81121,0.0001783,0.0001783,0.0001783
85,500043,0.89926,1.24243,1.13664,0.97685,0.9775,0.9919,0.90225,0.49796,0.58051,0.81081,0.0001684,0.0001684,0.0001684
86,504667,0.89276,1.22616,1.13165,0.97651,0.9775,0.99189,0.90258,0.49735,0.57846,0.81049,0.0001585,0.0001585,0.0001585
87,509334,0.89159,1.22258,1.12997,0.97661,0.9775,0.99188,0.90321,0.49672,0.57684,0.81027,0.0001486,0.0001486,0.0001486
88,513887,0.88838,1.2172,1.13061,0.97669,0.9775,0.99193,0.90334,0.49599,0.5749,0.81005,0.0001387,0.0001387,0.0001387
89,518447,0.8852,1.21554,1.12719,0.97679,0.9775,0.99192,0.90326,0.49503,0.57277,0.80968,0.0001288,0.0001288,0.0001288
90,525339,0.88498,1.22142,1.13076,0.97681,0.9775,0.99195,0.90351,0.49407,0.57116,0.80939,0.0001189,0.0001189,0.0001189
91,529686,0.60391,0.61183,0.95888,0.97675,0.9775,0.99197,0.90373,0.49298,0.56867,0.80917,0.000109,0.000109,0.000109
92,533984,0.58525,0.59656,0.95003,0.97679,0.9775,0.99201,0.90466,0.49155,0.56672,0.80882,9.91e-05,9.91e-05,9.91e-05
93,538327,0.5773,0.58286,0.94609,0.97742,0.9775,0.99205,0.90543,0.48993,0.56467,0.80842,8.92e-05,8.92e-05,8.92e-05
94,542660,0.5723,0.57551,0.94259,0.97752,0.9775,0.99209,0.90552,0.48857,0.56275,0.80811,7.93e-05,7.93e-05,7.93e-05
95,547008,0.56363,0.5646,0.9407,0.97781,0.9775,0.99212,0.90618,0.4873,0.56112,0.80783,6.94e-05,6.94e-05,6.94e-05
96,551352,0.5599,0.55581,0.93788,0.97817,0.9775,0.99214,0.90644,0.48585,0.55882,0.80744,5.95e-05,5.95e-05,5.95e-05
97,555706,0.54995,0.54907,0.93471,0.97837,0.97745,0.99218,0.90762,0.48464,0.55682,0.8071,4.96e-05,4.96e-05,4.96e-05
98,560004,0.54311,0.54288,0.93113,0.97836,0.97726,0.99218,0.9085,0.48333,0.55526,0.80677,3.97e-05,3.97e-05,3.97e-05
99,564330,0.53903,0.53375,0.92764,0.97832,0.97718,0.99219,0.90943,0.48204,0.55286,0.80646,2.98e-05,2.98e-05,2.98e-05
100,568635,0.5371,0.53111,0.92871,0.97825,0.97717,0.99221,0.90974,0.48044,0.55125,0.80611,1.99e-05,1.99e-05,1.99e-05
